% Model,2D_rectangle.mph
% Version,COMSOL 6.3.0.290
% Date,"May 17 2025, 15:20"
% Table,Table 3 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)"
0.053000000000000005,9.99999827311093
0.0531,9.999998432620131
0.053200000000000004,9.999998592129332
0.0533,9.999998751638536
0.0534,9.99999891114774
0.053500000000000006,9.99999907065694
0.0536,9.999999230166143
0.053700000000000005,9.999999389675352
0.0538,9.999999549184555
0.0539,9.999999708693757
0.054,9.99999986820296
0.0541,10.000000027712165
0.054200000000000005,10.000000187221367
0.0543,10.000000346730571
0.054400000000000004,10.000000506239768
0.0545,10.00000066574898
0.0546,10.00000082525818
0.054700000000000006,10.000000984767382
0.0548,10.000001144276581
0.054900000000000004,10.000001303785792
0.055,10.000001463294998
0.0551,10.000001622804195
0.055200000000000006,10.0000017823134
0.0553,10.000001941822603
0.055400000000000005,10.000002101331802
0.0555,10.000002260841008
0.055600000000000004,10.000002420350208
0.0557,10.00000257985942
0.0558,10.000002739368616
0.055900000000000005,10.00000289887782
0.056,10.000003058387021
0.056100000000000004,10.000003217896229
0.0562,10.000003377405434
0.0563,10.000003536914633
0.056400000000000006,10.000003696423846
0.0565,10.000003855933043
0.056600000000000004,10.000004015442244
0.0567,10.000004174951448
0.0568,10.000004334460652
0.056900000000000006,10.000004493969856
0.057,10.000004653479055
0.057100000000000005,10.00000481298826
0.0572,10.000004972497464
0.057300000000000004,10.000005132006667
0.0574,10.000005218980974
0.0575,10.000005167572667
0.057600000000000005,10.000005116164344
0.0577,10.00000506475603
0.057800000000000004,10.000005013347712
0.0579,10.000004961939393
0.058,10.000004910531079
0.058100000000000006,10.000004859122763
0.0582,10.000004807714445
0.058300000000000005,10.000004756306131
0.0584,10.000004704897808
0.0585,10.000004653489492
0.058600000000000006,10.000004602081177
0.0587,10.000004550672866
0.058800000000000005,10.000004499264543
0.0589,10.000004447856229
0.059000000000000004,10.000004396447919
0.0591,10.000004345039596
0.0592,10.000004293631275
0.059300000000000005,10.000004242222957
0.0594,10.000004190814643
0.059500000000000004,10.000004139406329
0.0596,10.000004087998011
0.0597,10.000004036589694
0.059800000000000006,10.000003985181378
0.0599,10.000003933773067
0.060000000000000005,10.000003882364744
