% Model,2D_turn.mph
% Version,COMSOL 6.3.0.290
% Date,"May 19 2025, 17:47"
% Table,Table 1 - Outlet Concentration
% Time (s),"Molar concentration, c (mol/m^3)","Molar concentration, c (mol/m^3)"
0.025900000000000003,1.0362185554061076E-23,-4.31089827220628E-24
0.026000000000000002,1.0259690954064403E-23,-4.439468430734335E-24
0.0261,1.0157196354067726E-23,-4.5680385892623916E-24
0.0262,1.0054701754071053E-23,-4.696608747790447E-24
0.0263,9.952207154074376E-24,-4.825178906318504E-24
0.0264,9.849712554077703E-24,-4.9537490648465625E-24
0.026500000000000003,9.747217954081025E-24,-5.082319223374622E-24
0.026600000000000002,9.64472335408435E-24,-5.210889381902679E-24
0.0267,9.542228754087682E-24,-5.339459540430735E-24
0.0268,9.439734154091E-24,-5.468029698958792E-24
0.0269,9.337239554094331E-24,-5.596599857486845E-24
0.027,9.23474495409766E-24,-5.725170016014902E-24
0.027100000000000003,9.132250354100979E-24,-5.853740174542962E-24
0.027200000000000002,9.029755754104304E-24,-5.982310333071021E-24
0.0273,8.927261154107633E-24,-6.110880491599075E-24
0.0274,8.82476655411096E-24,-6.239450650127134E-24
0.0275,8.722271954114283E-24,-6.3680208086551896E-24
0.027600000000000003,8.619777354117611E-24,-6.49659096718325E-24
0.027700000000000002,8.517282754120934E-24,-6.625161125711308E-24
0.027800000000000002,8.41478815412426E-24,-6.753731284239366E-24
0.0279,8.312293554127583E-24,-6.88230144276742E-24
0.028,8.209798954130911E-24,-7.010871601295476E-24
0.0281,8.10730435413424E-24,-7.139441759823534E-24
0.028200000000000003,8.004809754137559E-24,-7.268011918351594E-24
0.028300000000000002,7.902315154140888E-24,-7.39658207687965E-24
0.0284,7.799820554144213E-24,-7.52515223540771E-24
0.0285,7.69732595414754E-24,-7.653722393935762E-24
0.0286,7.594831354150863E-24,-7.782292552463819E-24
0.0287,7.492336754154192E-24,-7.91086271099188E-24
0.028800000000000003,7.389842154157514E-24,-8.039432869519936E-24
0.028900000000000002,7.287347554160843E-24,-8.168003028047991E-24
0.029,7.184852954164165E-24,-8.296573186576051E-24
0.0291,7.08235835416749E-24,-8.425143345104105E-24
0.0292,6.979863754170821E-24,-8.553713503632162E-24
0.029300000000000003,6.877369154174139E-24,-8.682283662160225E-24
0.029400000000000003,6.774874554177466E-24,-8.810853820688278E-24
0.029500000000000002,6.672379954180795E-24,-8.939423979216334E-24
0.0296,6.569885354184117E-24,-9.067994137744391E-24
0.0297,6.467390754187444E-24,-9.196564296272447E-24
0.0298,6.364896154190773E-24,-9.325134454800504E-24
0.029900000000000003,6.262401554194098E-24,-9.453704613328567E-24
0.030000000000000002,6.159906954197422E-24,-9.58227477185662E-24
0.030100000000000002,6.057412354200747E-24,-9.710844930384683E-24
0.0302,5.954917754204074E-24,-9.839415088912735E-24
0.0303,5.852423154207399E-24,-9.967985247440793E-24
0.0304,5.749928554210724E-24,-1.0096555405968848E-23
0.030500000000000003,5.647433954214048E-24,-1.022512556449691E-23
0.030600000000000002,5.544939354217377E-24,-1.0353695723024962E-23
0.0307,5.4424447542207015E-24,-1.0482265881553024E-23
0.0308,5.339950154224029E-24,-1.0479224914016087E-23
0.0309,5.237455554227355E-24,-1.0338408598005196E-23
0.031,5.134960954230678E-24,-1.0197592281994307E-23
0.031100000000000003,5.032466354234E-24,-1.0056775965983408E-23
0.031200000000000002,4.9299717542373284E-24,-9.91595964997252E-24
0.0313,4.827477154240654E-24,-9.775143333961622E-24
0.031400000000000004,4.724982554243976E-24,-9.63432701795073E-24
0.0315,4.622487954247307E-24,-9.493510701939844E-24
0.0316,4.51999335425063E-24,-9.352694385928948E-24
0.0317,4.4196174133294644E-24,-9.211878069918062E-24
0.0318,4.345236319205528E-24,-9.071061753907163E-24
0.031900000000000005,4.2708552250815905E-24,-8.930245437896265E-24
0.032,4.1964741309576605E-24,-8.789429121885379E-24
0.032100000000000004,4.1220930368337254E-24,-8.64861280587448E-24
0.0322,4.0477119427097925E-24,-8.507796489863597E-24
0.0323,3.973330848585856E-24,-8.366980173852697E-24
0.0324,3.898949754461924E-24,-8.22616385784181E-24
0.0325,3.824568660337987E-24,-8.085347541830913E-24
0.032600000000000004,3.7501875662140505E-24,-7.944531225820018E-24
0.0327,3.67580647209012E-24,-7.803714909809131E-24
0.0328,3.601425377966182E-24,-7.662898593798235E-24
0.0329,3.527044283842251E-24,-7.522082277787347E-24
0.033,3.452663189718314E-24,-7.381265961776451E-24
0.033100000000000004,3.378282095594377E-24,-7.240449645765555E-24
0.0332,3.3039010014704446E-24,-7.099633329754671E-24
0.0333,3.2295199073465095E-24,-6.958817013743769E-24
0.0334,3.155138813222577E-24,-6.818000697732885E-24
0.0335,3.0807577190986407E-24,-6.677184381721986E-24
0.033600000000000005,3.0063766249747034E-24,-6.536368065711091E-24
0.0337,2.9319955308507723E-24,-6.395551749700205E-24
0.033800000000000004,2.857614436726835E-24,-6.2547354336893065E-24
0.0339,2.7832333426029035E-24,-6.113919117678418E-24
0.034,2.708852248478966E-24,-5.973102801667525E-24
0.0341,2.6344711543550355E-24,-5.832286485656634E-24
0.0342,2.560090060231098E-24,-5.6914701696457376E-24
0.034300000000000004,2.485708966107161E-24,-5.550653853634844E-24
0.0344,2.4113278719832294E-24,-5.4098375376239575E-24
0.0345,2.336946777859293E-24,-5.2690212216130616E-24
0.0346,2.2625656837353614E-24,-5.1282049056021745E-24
0.0347,2.188184589611425E-24,-4.987388589591278E-24
0.034800000000000005,2.1138034954874875E-24,-4.8465722735803805E-24
0.0349,2.039422401363556E-24,-4.7057559575694934E-24
0.035,1.9650413072396198E-24,-4.564939641558596E-24
0.0351,1.890660213115688E-24,-4.42412332554771E-24
0.0352,1.816279118991751E-24,-4.2833070095368146E-24
0.035300000000000005,1.7418980248678148E-24,-4.142490693525917E-24
0.0354,1.6675169307438823E-24,-4.00167437751503E-24
0.035500000000000004,1.5931358366199462E-24,-3.860858061504135E-24
0.0356,1.5187547424960151E-24,-3.720041745493247E-24
